operateur;annee;filiere;code_categorie_consommation;libelle_categorie_consommation;code_grand_secteur;libelle_grand_secteur;code_naf;libelle_secteur_naf2;conso;pdl;indqual;nombre_mailles_secretisees;code_region;libelle_region
Enedis;2020;Electricité;ENT;Entreprises;X;Secteur Inconnu;;0;59.628367;5;1.0;0;XX;Non affecté à une région
Enedis;2020;Electricité;PRO;Petits professionels;T;Tertiaire;;0;55.85628498;17;0.188;0;XX;Non affecté à une région
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;I;Industrie;10;Industries alimentaires;722.0;7;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;I;Industrie;28;Fabrication de machines et équipements n.c.a.;78.0;1;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;36;Captage, traitement et distribution d'eau;3231.0;4;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;55;Hébergement;947.0;7;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;56;Restauration;481.0;6;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;59;"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale";71.0;1;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;64;Activités des services financiers, hors assurance et caisses de retraite;180.0;4;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;68;Activités immobilières;7556.0;89;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;69;Activités juridiques et comptables;11.0;1;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;81;Services relatifs aux bâtiments et aménagement paysager;44.0;1;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;85;Enseignement;1543.0;5;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;87;Hébergement médico-social et social;1193.0;4;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;88;Action sociale sans hébergement;83.0;1;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;92;Organisation de jeux de hasard et d'argent;641.0;2;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;ENT;Entreprises;T;Tertiaire;93;Activités sportives, récréatives et de loisirs;75.0;3;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;PRO;Petits professionels;I;Industrie;;0;836.0;109;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie développement services du Briançonnais;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;39353.0;9675;1.0;0;93;Provence-Alpes-Côte d'Azur
Energie Pays Toy;2020;Electricité;ENT_PRO;0;A;Agriculture;;0;0.0;0;0.0;1;76;Occitanie
Energies-services Sainte Marie aux Chênes;2020;Electricité;ENT_PRO;0;I;Industrie;;0;18453.759;7;0.95;0;44;Grand Est
Energies-services Sainte Marie aux Chênes;2020;Electricité;ENT_PRO;0;T;Tertiaire;;0;621.357;5;0.95;0;44;Grand Est
Energies-services Sainte Marie aux Chênes;2020;Electricité;ENT_PRO;0;X;Secteur Inconnu;;0;4045.605;18;0.95;0;44;Grand Est
Energies et services d'Hagondange;2020;Electricité;ENT_PRO;0;T;Tertiaire;;0;5186.855;29;0.95;0;44;Grand Est
Energies et services d'Hagondange;2020;Electricité;ENT_PRO;0;X;Secteur Inconnu;;0;1222.906;5;0.95;0;44;Grand Est
Energies et services Hombourg-Haut;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;13165.112;3429;0.95;0;44;Grand Est
Energies et services Pierrevillers;2020;Electricité;ENT_PRO;0;I;Industrie;;0;59.263;1;0.95;0;44;Grand Est
Energies et services Pierrevillers;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;4188.159;704;0.95;0;44;Grand Est
Energies et Services Sarre-Union;2020;Electricité;ENT_PRO;0;T;Tertiaire;;0;3689.401;18;0.95;0;44;Grand Est
Energies et Services Sarre-Union;2020;Electricité;ENT_PRO;0;X;Secteur Inconnu;;0;10659.457;7;0.95;0;44;Grand Est
Energies et services Schoeneck;2020;Electricité;ENT_PRO;0;X;Secteur Inconnu;;0;2817.415;12;0.95;0;44;Grand Est
Energies et Services ville d'Amneville;2020;Electricité;ENT_PRO;0;I;Industrie;;0;1927.937;14;0.95;0;44;Grand Est
Energies et Services ville d'Amneville;2020;Electricité;RES;Résidentiel;R;Résidentiel;;0;25309.681;5873;0.95;0;44;Grand Est
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;I;Industrie;10;Industries alimentaires;1931.0;9;0.9;0;76;Occitanie
Energies Services Lavaur;2020;Electricité;ENT;Entreprises;I;Industrie;14;Industrie de l'habillement;88.0;1;0.9;0;76;Occitanie
